player1,player2,results_set,upset_results_set,num_runs_s1,num_non_upset,num_upsets,num_matches,ww_z_s1,p_val_1_s1,p_val_2_s1,num_runs_s2,num_uw,num_ul,ww_z_s2,p_val_1_s2,p_val_2_s2,p_val_1_s1_adj,p_val_2_s1_adj,p_val_1_s2_adj,p_val_2_s2_adj
Dancevic F.,Mahut N.,"[('2010-07-07', 'U')]","[('2010-07-07', 'UW')]",1,,,,,,,,,,,,,
Dancevic F.,Kubot L.,"[('2013-03-21', 'U')]","[('2013-03-21', 'UL')]",1,,,,,,,,,,,,,
Dancevic F.,Reynolds B.,"[('2008-06-25', 'U'), ('2008-07-15', 'N'), ('2009-07-20', 'N')]","[('2008-06-25', 'UL')]",2,2,1,3,0.7071067811865469,0.2397500610934769,0.4795001221869538,,,,,,,
Dancevic F.,Santoro F.,"[('2007-07-12', 'N'), ('2009-06-19', 'U')]","[('2009-06-19', 'UW')]",2,1,1,2,,,,,,,,,,
Dancevic F.,Johansson T.,"[('2006-10-24', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Haas T.,"[('2009-08-05', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Murray A.,"[('2007-02-22', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Gonzalez F.,"[('2007-03-11', 'N')]",[],1,,,,,,,,,,,,,
Ancic M.,Dancevic F.,"[('2008-07-22', 'U')]","[('2008-07-22', 'UL')]",1,,,,,,,,,,,,,
Dancevic F.,Roddick A.,"[('2006-06-14', 'N'), ('2007-02-15', 'N'), ('2007-07-28', 'U')]","[('2007-07-28', 'UW')]",2,2,1,3,0.7071067811865469,0.2397500610934769,0.4795001221869538,,,,,,,
Baghdatis M.,Dancevic F.,"[('2007-01-31', 'N'), ('2009-07-28', 'U')]","[('2009-07-28', 'UW')]",2,1,1,2,,,,,,,,,,
Dancevic F.,Wessels P.,"[('2007-10-10', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Henman T.,"[('2006-10-03', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Fish M.,"[('2009-02-25', 'N'), ('2010-07-09', 'N'), ('2012-03-24', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Stepanek R.,"[('2006-06-27', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Gasquet R.,"[('2007-01-04', 'N'), ('2011-01-17', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Nalbandian D.,"[('2007-06-28', 'N'), ('2008-06-23', 'U')]","[('2008-06-23', 'UW')]",2,1,1,2,,,,,,,,,,
Dancevic F.,Hewitt L.,"[('2007-01-18', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Lu Y.H.,"[('2013-08-06', 'U')]","[('2013-08-06', 'UW')]",1,,,,,,,,,,,,,
Dancevic F.,Daniel M.,"[('2006-10-02', 'N')]",[],1,,,,,,,,,,,,,
Amritraj P.,Dancevic F.,"[('2008-07-12', 'U')]","[('2008-07-12', 'UW')]",1,,,,,,,,,,,,,
Dancevic F.,Kunitsyn I.,"[('2007-07-27', 'N'), ('2008-07-10', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Gicquel M.,"[('2010-07-05', 'U')]","[('2010-07-05', 'UW')]",1,,,,,,,,,,,,,
Dancevic F.,Stakhovsky S.,"[('2009-07-09', 'U')]","[('2009-07-09', 'UL')]",1,,,,,,,,,,,,,
Dancevic F.,Del Potro J.M.,"[('2007-07-25', 'U'), ('2007-09-25', 'U')]","[('2007-07-25', 'UW'), ('2007-09-25', 'UW')]",1,,,,,,,,,,,,,
Dancevic F.,Safin M.,"[('2007-08-29', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Nadal R.,"[('2007-08-11', 'N')]",[],1,,,,,,,,,,,,,
Bolelli S.,Dancevic F.,"[('2008-01-01', 'N'), ('2011-05-23', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Roitman S.,"[('2007-06-12', 'N')]",[],1,,,,,,,,,,,,,
Chardy J.,Dancevic F.,"[('2012-03-22', 'N')]",[],1,,,,,,,,,,,,,
Becker B.,Dancevic F.,"[('2007-07-23', 'U'), ('2009-07-23', 'U')]","[('2007-07-23', 'UL'), ('2009-07-23', 'UL')]",1,,,,,,,,,,,,,
